City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
396,mogocha,53.7333,119.7667,10.2,53,62,1.15,RU,1684705601
397,miyaly,48.8844,53.7836,15.92,54,92,4.61,KZ,1684705602
398,happy valley-goose bay,53.3168,-60.3315,5.17,93,100,9.26,CA,1684705441
399,richards bay,-28.783,32.0377,19.57,73,84,8.5,ZA,1684705602
400,mount pearl,47.5166,-52.7813,12.19,74,75,9.77,CA,1684705603
401,bridlington,54.0831,-0.1919,11.19,86,1,5.42,GB,1684705405
402,torres,-29.3353,-49.7269,18.79,76,100,1.84,BR,1684705511
403,mermoz boabab,14.7065,-17.4758,24.31,83,0,6.17,SN,1684705604
404,mando,10.7167,6.5667,24.18,87,100,2.87,NG,1684705605
405,borovichi,58.3878,33.9155,8.76,97,5,1.8,RU,1684705605
406,maintirano,-18.0667,44.0167,22.89,83,0,3.56,MG,1684705605
407,general villegas,-35.0328,-63.0125,14.73,95,100,4.08,AR,1684705606
408,kapuskasing,49.4169,-82.4331,10.05,40,40,3.6,CA,1684705606
409,quesnel,52.9999,-122.5029,23.28,35,0,1.03,CA,1684705513
